fecha,ciudad,temperatura,humedad,precipitacion_mm,viento_kmh
23-02-2024,Buenos Aires,33.5 C,"68,7",0.0,20.8
2024-06-15, Bariloche,0.8,70.0,2.3,17.1
2024-04-18,Buenos Aires,19.9 C,54.2,nan,19.3
20 de Sep de 2024,Bariloche,6.8 C,79.1,0.0,2.7
26/12/2024,Buenos Aires,26.9,"52,9",0.0,13.4
21/05/2024,Buenos Aires,14.9,"68,9",0.0,21.8
2024-08-21,Bariloche,1.7 C,85.9,0.0,16.3
2024-10-30,Cordoba,21.5,46.1,0.0,22.6
2024-07-09,BARILOCHE,3.7,"76,3",0.0,16.0
2024-04-09,Buenos Aires,17.9,"53,8",0.0,nan
2024-03-20,Cordoba,20.3,51.2,,14.0
2024-06-14,Buenos Aires,9.1,"66,6",0.0,14.6
08-07-2024,Buenos Aires,10.6,"68,4",0.0,14.7
01 de Nov de 2024,Buenos Aires,25.5,62.1,,5.8
2024-12-30, Bariloche,17.6,52.7,9.4,11.0
13/10/2024,Bariloche,9.3,67.8,0.0,7.9
21-05-2024,Cordoba,11.1,-,0.0,18.7
2024-02-16,Buenos Aires,23.3,67.6,0.0,13.3
27-10-2024,Bariloche,13.6 C,78.0,0.0,21.3
2024-11-10,Cordoba,23.2 C,59.9,0.0,13.6
10-12-2024,Buenos Aires,nan,66.3,-,10.2
22/05/2024,Cordoba,11.5 C,62.0,0.0,7.1
24-02-2024,Buenos Aires,25.5,65.5,0.0,9.4
2024-08-07,Cordoba,7.8 C,65.8,0.0,8.0
2024-05-03,BUENOS AIRES,12.9,nan,N/A,19.3
08-05-2024,Bariloche,6.2,"69,2",0.0,6.2
30-11-2024,Córdoba ,20.6,"50,2",0.0,11.8
2024-09-27,Buenos Aires,17.6,71.4,0.9,13.6
2024-04-11,Bariloche,,71.2,0.0,nan
2024-06-27,Cordoba,1.7,72.0,1.4,5.5
2024-08-03,Bariloche,0.3,72.5,0.0,20.2
2024-06-12,Bariloche,-3.2 C,75.9,15.8,14.3
29 de Oct de 2024,Bariloche,9.5,,0.0,-
2024-06-15, Bariloche,0.8,70.0,2.3,17.1
2024-04-07,Bs As,20.1 C,"71,9",19.3,19.8
2024-06-30,Cordoba,3.4 C,61.3,0.0,10.0
2024-06-01,San Carlos de Bariloche,4.3,"55,7",s/d,16.4
2024-08-11, Bariloche,-0.1,69.7,0.0,5.2
2024-05-05,Buenos Aires,16.2,N/A,N/A,12.9
2024-02-27,Córdoba ,22.2,57.1,0.0,18.0
2024-08-08,Cordoba,8.0,"60,0",5.6,18.2
10 de Aug de 2024,Buenos Aires,12.9,"77,7",17.0,13.0
2024-07-06,Cordoba,7.5,67.0,0.0,11.3
2024-01-10,Buenos Aires,24.3,64.7,0.0,2.2
2024-10-22,bariloche,10.1,72.0,0.0,8.8
11-10-2024,Cordoba,16.2 C,"55,8",16.8,19.1
05/07/2024,Buenos Aires,9.6,66.9,3.9,8.5
2024-03-25, Bariloche,12.4,55.3,0.0,14.7
2024-06-11,cordoba,7.7,59.3,0.0,14.1
2024-09-16,buenos aires,16.0,"83,8",0.0,11.2
2024-11-28,Bariloche,12.6 C,53.3,0.0,22.7
09/11/2024,Bariloche,12.6 C,"79,1",1.7,13.4
2024-06-10,San Carlos de Bariloche,2.4,"81,2",5.1,14.7
2024-03-01,bariloche,8.2,"65,5",4.0,6.6
04 de Feb de 2024, Buenos Aires,27.8,62.0,3.3,11.9
2024-06-19, Buenos Aires,11.5,-,0.9,10.9
13 de Jan de 2024,Bariloche,15.8,58.6,0.0,15.4
13 de Oct de 2024,CÓRDOBA,16.0 C,65.9,0.0,2.7
2024-11-02,Buenos Aires,21.5,66.4,9.5,5.4
2024-04-01,Cordoba,19.7 C,,0.0,15.4
