fecha,anio,mes,mes_nombre,estacion,ciudad,temperatura,humedad,precipitacion_mm,viento_kmh,llovio
2024-01-01,2024,1,Jan,Verano,Bariloche,16.3,66.6,0.0,17.0,False
2024-01-02,2024,1,Jan,Verano,Bariloche,17.2,72.7,0.0,5.2,False
2024-01-03,2024,1,Jan,Verano,Bariloche,18.7,63.5,0.0,16.0,False
2024-01-04,2024,1,Jan,Verano,Bariloche,18.0,59.4,0.0,8.1,False
2024-01-06,2024,1,Jan,Verano,Bariloche,14.1,66.2,3.4,9.2,True
2024-01-07,2024,1,Jan,Verano,Bariloche,15.9,57.8,0.0,15.9,False
2024-01-08,2024,1,Jan,Verano,Bariloche,14.4,67.7,5.1,0.0,True
2024-01-09,2024,1,Jan,Verano,Bariloche,19.6,73.2,0.0,19.2,False
2024-01-10,2024,1,Jan,Verano,Bariloche,17.3,71.5,0.1,18.2,True
2024-01-11,2024,1,Jan,Verano,Bariloche,18.4,58.1,0.0,19.6,False
2024-01-12,2024,1,Jan,Verano,Bariloche,16.5,76.1,1.7,7.4,True
2024-01-14,2024,1,Jan,Verano,Bariloche,20.8,66.5,7.3,2.9,True
2024-01-15,2024,1,Jan,Verano,Bariloche,14.3,65.1,6.3,12.3,True
2024-01-16,2024,1,Jan,Verano,Bariloche,18.6,73.8,0.0,21.5,False
2024-01-17,2024,1,Jan,Verano,Bariloche,17.6,77.2,0.0,12.7,False
2024-01-18,2024,1,Jan,Verano,Bariloche,18.9,70.7,6.9,17.0,True
2024-01-19,2024,1,Jan,Verano,Bariloche,14.7,66.2,0.0,23.1,False
2024-01-21,2024,1,Jan,Verano,Bariloche,13.1,71.7,0.0,2.6,False
2024-01-22,2024,1,Jan,Verano,Bariloche,15.0,63.7,7.6,25.3,True
2024-01-23,2024,1,Jan,Verano,Bariloche,18.0,54.7,0.0,16.6,False
2024-01-24,2024,1,Jan,Verano,Bariloche,17.9,49.7,0.0,12.0,False
2024-01-25,2024,1,Jan,Verano,Bariloche,15.6,75.4,0.7,4.9,True
2024-01-27,2024,1,Jan,Verano,Bariloche,17.9,70.8,0.0,2.8,False
2024-01-28,2024,1,Jan,Verano,Bariloche,15.9,68.6,0.0,16.7,False
2024-01-29,2024,1,Jan,Verano,Bariloche,16.7,63.0,0.0,16.7,False
2024-01-30,2024,1,Jan,Verano,Bariloche,14.6,67.6,0.0,16.7,False
2024-01-31,2024,1,Jan,Verano,Bariloche,16.4,61.5,7.6,15.1,True
2024-02-01,2024,2,Feb,Verano,Bariloche,17.7,65.5,0.0,10.2,False
2024-02-02,2024,2,Feb,Verano,Bariloche,18.6,64.5,0.0,4.6,False
2024-02-03,2024,2,Feb,Verano,Bariloche,19.6,63.5,0.0,12.3,False
2024-02-04,2024,2,Feb,Verano,Bariloche,20.3,60.4,0.0,13.0,False
2024-02-05,2024,2,Feb,Verano,Bariloche,15.0,64.3,0.0,11.9,False
2024-02-06,2024,2,Feb,Verano,Bariloche,16.2,63.1,16.9,4.9,True
2024-02-07,2024,2,Feb,Verano,Bariloche,17.1,81.4,0.0,10.2,False
2024-02-08,2024,2,Feb,Verano,Bariloche,17.1,65.4,0.0,15.4,False
2024-02-09,2024,2,Feb,Verano,Bariloche,17.8,57.3,0.0,24.2,False
2024-02-10,2024,2,Feb,Verano,Bariloche,20.6,70.3,0.0,18.7,False
2024-02-11,2024,2,Feb,Verano,Bariloche,17.4,69.4,0.0,12.5,False
2024-02-12,2024,2,Feb,Verano,Bariloche,15.6,76.9,0.0,12.9,False
2024-02-13,2024,2,Feb,Verano,Bariloche,16.5,65.2,0.0,21.3,False
2024-02-14,2024,2,Feb,Verano,Bariloche,17.4,53.5,0.3,23.0,True
2024-02-15,2024,2,Feb,Verano,Bariloche,14.4,78.2,0.0,18.7,False
2024-02-16,2024,2,Feb,Verano,Bariloche,15.5,72.4,0.0,14.4,False
2024-02-17,2024,2,Feb,Verano,Bariloche,15.0,65.5,22.3,20.5,True
2024-02-18,2024,2,Feb,Verano,Bariloche,16.6,58.6,2.9,0.5,True
2024-02-19,2024,2,Feb,Verano,Bariloche,18.4,65.3,0.0,12.0,False
2024-02-20,2024,2,Feb,Verano,Bariloche,16.4,69.9,4.0,20.3,True
2024-02-21,2024,2,Feb,Verano,Bariloche,19.1,64.1,14.4,10.3,True
2024-02-22,2024,2,Feb,Verano,Bariloche,16.4,65.2,0.0,10.6,False
2024-02-23,2024,2,Feb,Verano,Bariloche,15.0,68.8,0.0,10.9,False
2024-02-24,2024,2,Feb,Verano,Bariloche,15.3,64.8,12.4,13.5,True
