mes,departamento,dotacion,horas_trabajadas,accidentes_con_lesion,casi_accidentes,dias_perdidos_accidentes,ausentismo_enfermedad_comun_dias,ausentismo_salud_mental_dias,ausentismo_musculoesqueletico_dias,capacitacion_seguridad_pct,indice_incidencia,dias_perdidos_totales,tasa_ausentismo_pct
2023-01-01,Producción,83,14608,2,9,18,23,6,11,78.9,27.38,58,3.18
2023-01-01,Logística,43,7568,1,6,1,19,8,3,80.3,26.43,31,3.28
2023-01-01,Administración,28,4928,0,0,0,9,2,0,92.9,0.0,11,1.79
2023-01-01,Ventas,28,4928,0,0,0,11,1,0,85.3,0.0,12,1.95
2023-01-01,IT,15,2640,0,0,0,2,2,0,88.2,0.0,4,1.21
2023-02-01,Producción,82,14432,4,4,10,26,8,7,89.8,55.43,51,2.83
2023-02-01,Logística,46,8096,2,2,4,19,3,3,73.6,49.41,29,2.87
2023-02-01,Administración,33,5808,0,1,0,12,5,0,87.0,0.0,17,2.34
2023-02-01,Ventas,23,4048,0,1,0,9,1,0,87.7,0.0,10,1.98
2023-02-01,IT,17,2992,0,0,0,5,0,0,86.2,0.0,5,1.34
2023-03-01,Producción,88,15488,3,12,3,35,7,9,91.3,38.74,54,2.79
2023-03-01,Logística,42,7392,6,3,32,11,5,1,97.0,162.34,49,5.3
2023-03-01,Administración,29,5104,1,0,1,11,2,2,100.0,39.18,16,2.51
2023-03-01,Ventas,23,4048,0,0,0,4,2,0,80.8,0.0,6,1.19
2023-03-01,IT,12,2112,0,0,0,5,0,0,95.0,0.0,5,1.89
2023-04-01,Producción,85,14960,4,4,6,33,6,6,93.7,53.48,51,2.73
2023-04-01,Logística,42,7392,1,2,1,11,2,5,69.2,27.06,19,2.06
2023-04-01,Administración,33,5808,0,0,0,12,2,1,84.4,0.0,15,2.07
2023-04-01,Ventas,23,4048,0,0,0,4,6,0,83.3,0.0,10,1.98
2023-04-01,IT,15,2640,0,0,0,3,5,1,87.8,0.0,9,2.73
2023-05-01,Producción,82,14432,0,3,0,33,7,13,75.8,0.0,53,2.94
2023-05-01,Logística,44,7744,3,2,9,9,5,5,77.2,77.48,28,2.89
2023-05-01,Administración,31,5456,0,0,0,10,5,0,92.0,0.0,15,2.2
2023-05-01,Ventas,23,4048,1,0,3,9,4,0,91.1,49.41,16,3.16
2023-05-01,IT,12,2112,0,0,0,5,0,1,92.4,0.0,6,2.27
2023-06-01,Producción,85,14960,4,9,14,25,8,5,86.5,53.48,52,2.78
2023-06-01,Logística,46,8096,1,2,1,17,4,4,81.4,24.7,26,2.57
2023-06-01,Administración,29,5104,0,0,0,9,3,0,86.8,0.0,12,1.88
2023-06-01,Ventas,25,4400,1,0,7,5,1,0,92.7,45.45,13,2.36
2023-06-01,IT,13,2288,0,0,0,5,1,0,90.1,0.0,6,2.1
2023-07-01,Producción,85,14960,2,6,4,30,4,6,78.5,26.74,44,2.35
2023-07-01,Logística,42,7392,1,2,7,11,7,5,88.3,27.06,30,3.25
2023-07-01,Administración,32,5632,1,0,15,15,0,0,86.8,35.51,30,4.26
2023-07-01,Ventas,25,4400,1,0,1,9,2,3,100.0,45.45,15,2.73
2023-07-01,IT,17,2992,0,0,0,7,2,0,96.7,0.0,9,2.41
2023-08-01,Producción,86,15136,2,6,8,19,8,10,67.0,26.43,45,2.38
2023-08-01,Logística,43,7568,1,4,1,22,3,6,88.6,26.43,32,3.38
2023-08-01,Administración,28,4928,0,0,0,10,3,1,92.5,0.0,14,2.27
2023-08-01,Ventas,23,4048,1,0,1,8,5,0,85.0,49.41,14,2.77
2023-08-01,IT,18,3168,0,0,0,1,2,0,85.6,0.0,3,0.76
2023-09-01,Producción,86,15136,0,12,0,29,4,12,90.7,0.0,45,2.38
2023-09-01,Logística,43,7568,1,3,1,14,1,5,83.7,26.43,21,2.22
2023-09-01,Administración,32,5632,0,0,0,12,2,0,96.2,0.0,14,1.99
2023-09-01,Ventas,28,4928,0,0,0,13,1,1,100.0,0.0,15,2.44
2023-09-01,IT,12,2112,0,0,0,6,1,1,84.8,0.0,8,3.03
2023-10-01,Producción,84,14784,5,3,27,24,13,4,77.8,67.64,68,3.68
2023-10-01,Logística,45,7920,1,2,30,18,2,8,75.2,25.25,58,5.86
2023-10-01,Administración,32,5632,0,0,0,10,4,0,95.3,0.0,14,1.99
2023-10-01,Ventas,22,3872,0,0,0,10,0,1,89.0,0.0,11,2.27
2023-10-01,IT,16,2816,0,1,0,0,1,0,70.9,0.0,1,0.28
2023-11-01,Producción,87,15312,2,6,8,30,6,9,81.1,26.12,53,2.77
2023-11-01,Logística,43,7568,2,3,8,13,1,3,85.5,52.85,25,2.64
2023-11-01,Administración,32,5632,2,0,4,7,3,0,95.0,71.02,14,1.99
2023-11-01,Ventas,25,4400,0,0,0,16,2,0,96.8,0.0,18,3.27
2023-11-01,IT,15,2640,0,0,0,2,1,0,83.4,0.0,3,0.91
2023-12-01,Producción,82,14432,4,4,6,32,6,8,73.6,55.43,52,2.88
2023-12-01,Logística,45,7920,2,2,4,11,4,4,87.8,50.51,23,2.32
2023-12-01,Administración,27,4752,1,0,1,14,2,0,98.9,42.09,17,2.86
2023-12-01,Ventas,28,4928,0,0,0,8,1,0,81.6,0.0,9,1.46
2023-12-01,IT,16,2816,0,1,0,6,1,0,81.1,0.0,7,1.99
2024-01-01,Producción,83,14608,3,6,9,26,6,8,74.0,41.07,49,2.68
2024-01-01,Logística,44,7744,0,1,0,16,2,5,77.5,0.0,23,2.38
2024-01-01,Administración,28,4928,0,0,0,9,4,0,90.7,0.0,13,2.11
2024-01-01,Ventas,26,4576,1,0,7,8,4,0,93.3,43.71,19,3.32
2024-01-01,IT,12,2112,1,0,1,6,1,0,92.4,94.7,8,3.03
2024-02-01,Producción,82,14432,2,8,4,27,7,6,97.1,27.72,44,2.44
2024-02-01,Logística,48,8448,2,4,2,15,3,2,87.3,47.35,22,2.08
2024-02-01,Administración,33,5808,0,0,0,14,4,0,95.0,0.0,18,2.48
2024-02-01,Ventas,28,4928,0,1,0,13,3,0,93.8,0.0,16,2.6
2024-02-01,IT,13,2288,0,0,0,6,1,0,84.6,0.0,7,2.45
2024-03-01,Producción,88,15488,1,8,1,28,6,6,75.0,12.91,41,2.12
2024-03-01,Logística,44,7744,2,1,2,19,6,5,76.7,51.65,32,3.31
2024-03-01,Administración,28,4928,0,0,0,13,3,1,100.0,0.0,17,2.76
2024-03-01,Ventas,24,4224,0,1,0,8,0,0,74.6,0.0,8,1.52
2024-03-01,IT,16,2816,0,0,0,3,3,1,86.2,0.0,7,1.99
2024-04-01,Producción,87,15312,5,11,19,21,7,5,76.3,65.31,52,2.72
2024-04-01,Logística,45,7920,0,5,0,11,3,0,83.7,0.0,14,1.41
2024-04-01,Administración,29,5104,0,0,0,9,1,0,87.8,0.0,10,1.57
2024-04-01,Ventas,26,4576,1,1,7,6,2,2,92.7,43.71,17,2.97
2024-04-01,IT,15,2640,0,0,0,6,3,0,94.4,0.0,9,2.73
2024-05-01,Producción,88,15488,3,10,11,21,5,9,94.2,38.74,46,2.38
2024-05-01,Logística,48,8448,1,1,3,14,3,4,77.9,23.67,24,2.27
2024-05-01,Administración,29,5104,0,1,0,10,1,0,98.3,0.0,11,1.72
2024-05-01,Ventas,27,4752,1,1,1,10,1,0,92.3,42.09,12,2.02
2024-05-01,IT,16,2816,0,0,0,5,1,1,94.7,0.0,7,1.99
2024-06-01,Producción,86,15136,5,9,19,28,4,15,77.7,66.07,66,3.49
2024-06-01,Logística,45,7920,1,4,7,12,4,4,80.9,25.25,27,2.73
2024-06-01,Administración,29,5104,0,0,0,12,4,0,72.7,0.0,16,2.51
2024-06-01,Ventas,25,4400,0,0,0,4,3,1,100.0,0.0,8,1.45
2024-06-01,IT,17,2992,0,1,0,4,0,0,93.8,0.0,4,1.07
2024-07-01,Producción,83,14608,2,5,2,32,3,4,83.9,27.38,41,2.25
2024-07-01,Logística,46,8096,6,2,12,16,3,6,69.4,148.22,37,3.66
2024-07-01,Administración,33,5808,0,0,0,9,1,0,90.2,0.0,10,1.38
2024-07-01,Ventas,28,4928,0,0,0,9,1,0,94.1,0.0,10,1.62
2024-07-01,IT,17,2992,0,0,0,4,2,1,91.6,0.0,7,1.87
2024-08-01,Producción,84,14784,2,11,4,29,13,5,79.9,27.06,51,2.76
2024-08-01,Logística,48,8448,0,0,0,9,3,7,90.0,0.0,19,1.8
2024-08-01,Administración,31,5456,1,2,3,13,4,0,98.4,36.66,20,2.93
2024-08-01,Ventas,28,4928,0,0,0,5,2,0,91.9,0.0,7,1.14
2024-08-01,IT,13,2288,0,0,0,6,1,0,99.9,0.0,7,2.45
2024-09-01,Producción,86,15136,7,9,25,25,0,10,66.9,92.49,60,3.17
2024-09-01,Logística,47,8272,0,3,0,11,6,6,90.0,0.0,23,2.22
2024-09-01,Administración,32,5632,0,1,0,10,3,0,97.7,0.0,13,1.85
2024-09-01,Ventas,22,3872,0,0,0,12,3,0,91.7,0.0,15,3.1
2024-09-01,IT,12,2112,0,0,0,4,0,1,88.0,0.0,5,1.89
2024-10-01,Producción,88,15488,3,5,3,37,7,10,86.1,38.74,57,2.94
2024-10-01,Logística,44,7744,0,1,0,18,7,2,74.8,0.0,27,2.79
2024-10-01,Administración,31,5456,0,1,0,10,1,1,91.2,0.0,12,1.76
2024-10-01,Ventas,27,4752,0,1,0,9,2,2,96.4,0.0,13,2.19
2024-10-01,IT,16,2816,0,0,0,7,3,0,87.6,0.0,10,2.84
2024-11-01,Producción,87,15312,3,5,5,32,7,11,83.6,39.18,55,2.87
2024-11-01,Logística,43,7568,2,1,2,19,4,5,81.6,52.85,30,3.17
2024-11-01,Administración,33,5808,0,0,0,17,1,0,88.6,0.0,18,2.48
2024-11-01,Ventas,27,4752,0,0,0,10,1,0,84.1,0.0,11,1.85
2024-11-01,IT,16,2816,0,1,0,9,3,1,84.0,0.0,13,3.69
2024-12-01,Producción,87,15312,0,5,0,31,6,5,89.1,0.0,42,2.19
2024-12-01,Logística,48,8448,1,3,7,14,2,5,77.5,23.67,28,2.65
2024-12-01,Administración,32,5632,0,0,0,14,5,0,90.3,0.0,19,2.7
2024-12-01,Ventas,24,4224,0,0,0,5,1,0,99.9,0.0,6,1.14
2024-12-01,IT,12,2112,1,0,1,1,1,0,94.8,94.7,3,1.14
