hora_del_dia,cantidad_viajes,tarifa_promedio,distancia_promedio
0,4763539,13.4,6.01
1,3477723,13.06,3.88
2,2548843,12.66,5.27
3,1864434,13.29,10.14
4,1428479,15.28,18.31
5,1372737,16.11,6.77
6,2975900,13.11,3.61
7,4896879,12.19,3.34
8,5937000,12.35,2.78
9,6011694,12.41,3.19
10,5893018,12.78,3.66
11,6131605,12.85,2.85
12,6462568,12.93,2.88
13,6470373,13.36,3.12
14,6734852,13.87,6.88
15,6485696,13.78,4.52
16,5824661,13.89,4.65
17,6817247,13.38,5.47
18,7952577,12.53,3.32
19,8002064,12.14,7.21
20,7514298,12.45,6.09
21,7434223,12.77,4.38
22,7131810,13.23,3.48
23,6157615,13.62,4.14
